query_id,query,category,start_time,end_time,total_latency_ms,ttfu_ms,ttfu_status,cache_hit,discovery_status,verification_status,result_count,top_1_tool,top_3_tools,provider_attempts,provider_successes,provider_failures,tavily_fallback_used,tavily_call_count,verification_batches,final_result_count,eligibility_failures,unknown_constraints,execution_error,relevance_score,constraint_score,verification_score,ranking_score,explanation_score,human_notes
"q001","best AI video editor for beginners","video","2026-08-14T18:58:07.763Z","2026-08-14T18:58:16.369Z","8606","1842","MEASURED","false","PARTIAL_SUCCESS","VERIFIED","2","AI Video Editor | Online Video Editing","AI Video Editor | Online Video Editing, AI Video Editor","3","0","0","true","0","1","2","0","","Gemini Discovery: Rate Limited / Unavailable; Gemini Flash Discovery: Rate Limited / Unavailable; Groq Discovery: Rate Limited / Unavailable","pending_human_review","pending_human_review","pending_human_review","pending_human_review","pending_human_review","pending_human_review"
"q002","CRM software for small business","business","2026-08-14T18:58:16.369Z","2026-08-14T18:58:19.748Z","3379","613","MEASURED","false","PARTIAL_SUCCESS","UNVERIFIED","1","CRM For Small Business","CRM For Small Business","3","0","0","true","0","0","1","0","","Gemini Discovery: Rate Limited / Unavailable; Groq Discovery: Rate Limited / Unavailable; Gemini Flash Discovery: Rate Limited / Unavailable","pending_human_review","pending_human_review","pending_human_review","pending_human_review","pending_human_review","pending_human_review"
"q003","top marketing automation tools","marketing","2026-08-14T18:58:19.748Z","2026-08-14T18:58:22.544Z","2796","","NOT_AVAILABLE","false","DISCOVERY_FAILED","UNVERIFIED","0","","","3","0","0","true","0","0","0","0","","Gemini Discovery: Rate Limited / Unavailable; Groq Discovery: Rate Limited / Unavailable; Gemini Flash Discovery: Rate Limited / Unavailable","pending_human_review","pending_human_review","pending_human_review","pending_human_review","pending_human_review","pending_human_review"
"q004","good code editor for python","developer","2026-08-14T18:58:22.544Z","2026-08-14T18:58:28.244Z","5700","2212","MEASURED","false","PARTIAL_SUCCESS","VERIFIED","3","Python IDEs and Code Editors (Guide)","Python IDEs and Code Editors (Guide), Online Python, Which python IDE should I use?","3","0","0","true","0","1","3","0","","Gemini Discovery: Rate Limited / Unavailable; Groq Discovery: Rate Limited / Unavailable; Gemini Flash Discovery: Rate Limited / Unavailable","pending_human_review","pending_human_review","pending_human_review","pending_human_review","pending_human_review","pending_human_review"
"q005","AI image generators","image","2026-08-14T18:58:28.245Z","2026-08-14T18:58:35.260Z","7015","1949","MEASURED","false","PARTIAL_SUCCESS","VERIFIED","3","AI Image Generator: Text to Image AI","AI Image Generator: Text to Image AI, AI Image Generator, AI Image Generator","3","0","0","true","0","1","3","0","","Gemini Discovery: Rate Limited / Unavailable; Groq Discovery: Rate Limited / Unavailable; Gemini Flash Discovery: Rate Limited / Unavailable","pending_human_review","pending_human_review","pending_human_review","pending_human_review","pending_human_review","pending_human_review"
"q006","tools for personal finance tracking","finance","2026-08-14T18:58:35.260Z","2026-08-14T18:58:41.286Z","6026","1170","MEASURED","false","PARTIAL_SUCCESS","VERIFIED","3","Money Tracker-Expense & Budget","Money Tracker-Expense & Budget, Mint: Budget Tracker & Planner, Pocketsmith","3","0","0","true","0","1","3","0","","Gemini Discovery: Rate Limited / Unavailable; Groq Discovery: Rate Limited / Unavailable; Gemini Flash Discovery: Rate Limited / Unavailable","pending_human_review","pending_human_review","pending_human_review","pending_human_review","pending_human_review","pending_human_review"
"q007","best productivity apps for mac","productivity","2026-08-14T18:58:41.286Z","2026-08-14T18:58:46.064Z","4778","3847","MEASURED","false","PARTIAL_SUCCESS","UNVERIFIED","1","‎Productivity for Mac","‎Productivity for Mac","3","0","0","true","0","0","1","0","","Gemini Discovery: Rate Limited / Unavailable; Groq Discovery: Rate Limited / Unavailable; Gemini Flash Discovery: Rate Limited / Unavailable","pending_human_review","pending_human_review","pending_human_review","pending_human_review","pending_human_review","pending_human_review"
"q008","3d modeling software for beginners","3d","2026-08-14T18:58:46.064Z","2026-08-14T18:58:47.482Z","1418","","NOT_AVAILABLE","false","DISCOVERY_FAILED","UNVERIFIED","0","","","3","0","0","true","0","0","0","0","","Gemini Discovery: Rate Limited / Unavailable; Groq Discovery: Rate Limited / Unavailable; Gemini Flash Discovery: Rate Limited / Unavailable","pending_human_review","pending_human_review","pending_human_review","pending_human_review","pending_human_review","pending_human_review"
"q009","podcast recording software","audio","2026-08-14T18:58:47.482Z","2026-08-14T18:58:52.073Z","4591","2259","MEASURED","false","PARTIAL_SUCCESS","VERIFIED","3","Studio for Podcast","Studio for Podcast, SquadCast, Record a podcast","3","0","0","true","0","1","3","0","","Gemini Discovery: Rate Limited / Unavailable; Groq Discovery: Rate Limited / Unavailable; Gemini Flash Discovery: Rate Limited / Unavailable","pending_human_review","pending_human_review","pending_human_review","pending_human_review","pending_human_review","pending_human_review"
"q010","data visualization tools","business","2026-08-14T18:58:52.074Z","2026-08-14T18:58:55.896Z","3822","1188","MEASURED","false","PARTIAL_SUCCESS","UNVERIFIED","2","What Is Data Visualization? Definition, Examples, And ...","What Is Data Visualization? Definition, Examples, And ..., The Data Visualisation Catalogue","3","0","0","true","0","0","2","0","","Gemini Discovery: Rate Limited / Unavailable; Groq Discovery: Rate Limited / Unavailable; Gemini Flash Discovery: Rate Limited / Unavailable","pending_human_review","pending_human_review","pending_human_review","pending_human_review","pending_human_review","pending_human_review"
"q011","open source LLM that can run locally on Mac with 8GB RAM","developer","2026-08-14T18:58:55.896Z","2026-08-14T18:59:02.234Z","6338","2142","MEASURED","false","PARTIAL_SUCCESS","UNVERIFIED","1","Local AI on M-Chip Macbooks?","Local AI on M-Chip Macbooks?","3","0","0","true","0","0","1","0","","Gemini Discovery: Rate Limited / Unavailable; Groq Discovery: Rate Limited / Unavailable; Gemini Flash Discovery: Rate Limited / Unavailable","pending_human_review","pending_human_review","pending_human_review","pending_human_review","pending_human_review","pending_human_review"
"q012","Does Pictory AI support 4k export on the free plan?","video","2026-08-14T18:59:02.234Z","2026-08-14T18:59:07.966Z","5732","307","MEASURED","false","PARTIAL_SUCCESS","UNVERIFIED","1","Pictory AI Review: Features, Cost & Best Alternative","Pictory AI Review: Features, Cost & Best Alternative","3","0","0","true","0","0","1","0","","Gemini Discovery: Rate Limited / Unavailable; Groq Discovery: Rate Limited / Unavailable; Gemini Flash Discovery: Rate Limited / Unavailable","pending_human_review","pending_human_review","pending_human_review","pending_human_review","pending_human_review","pending_human_review"
"q013","CRM for real estate agents with twilio integration","business","2026-08-14T18:59:07.966Z","2026-08-14T18:59:11.354Z","3388","410","MEASURED","false","PARTIAL_SUCCESS","VERIFIED","3","Realtyjuggler","Realtyjuggler, Twilio Integration, Close CRM and Twilio integration","3","0","0","true","0","1","3","0","","Gemini Discovery: Rate Limited / Unavailable; Groq Discovery: Rate Limited / Unavailable; Gemini Flash Discovery: Rate Limited / Unavailable","pending_human_review","pending_human_review","pending_human_review","pending_human_review","pending_human_review","pending_human_review"
"q014","AI tool to restore old blurry photos with facial enhancement","image","2026-08-14T18:59:11.354Z","2026-08-14T18:59:36.729Z","25375","5622","MEASURED","false","PARTIAL_SUCCESS","VERIFIED","3","AI Face Restoration","AI Face Restoration, Clear Blurry Portrait Photos, Isamur","3","0","0","true","0","1","3","0","","Gemini Discovery: Rate Limited / Unavailable; Groq Discovery: Rate Limited / Unavailable; Gemini Flash Discovery: Rate Limited / Unavailable","pending_human_review","pending_human_review","pending_human_review","pending_human_review","pending_human_review","pending_human_review"
"q015","marketing email warmup tool with dedicated IP","marketing","2026-08-14T18:59:36.729Z","2026-08-14T18:59:47.493Z","10764","2971","MEASURED","false","PARTIAL_SUCCESS","UNVERIFIED","3","Warm-up process for marketing senders","Warm-up process for marketing senders, Warm up an IP address, Dedicated IP: The Key to Maximizing Email Deliverability","3","0","0","true","0","0","3","0","","Gemini Discovery: Rate Limited / Unavailable; Groq Discovery: Rate Limited / Unavailable; Gemini Flash Discovery: Rate Limited / Unavailable","pending_human_review","pending_human_review","pending_human_review","pending_human_review","pending_human_review","pending_human_review"
"q016","discord bot for stock price alerts","finance","2026-08-14T18:59:47.493Z","2026-08-14T18:59:54.650Z","7157","297","MEASURED","false","PARTIAL_SUCCESS","VERIFIED","3","Tradytics AI Stocks, and Options Discord Bots","Tradytics AI Stocks, and Options Discord Bots, Alpha.bot, Penny Stock Alerts (Best Trading Discord)","3","0","0","true","0","1","3","0","","Gemini Discovery: Rate Limited / Unavailable; Groq Discovery: Rate Limited / Unavailable; Gemini Flash Discovery: Rate Limited / Unavailable","pending_human_review","pending_human_review","pending_human_review","pending_human_review","pending_human_review","pending_human_review"
"q017","automated subtitle generator for premiere pro","video","2026-08-14T18:59:54.650Z","2026-08-14T19:00:05.377Z","10727","3389","MEASURED","false","PARTIAL_SUCCESS","VERIFIED","3","Create Animated Captions in Premiere Pro Automatically","Create Animated Captions in Premiere Pro Automatically, Learn Premiere Automatically add and translate captions, Auto Caption Plugin for Adobe Premiere Pro","3","0","0","true","0","1","3","0","","Gemini Discovery: Rate Limited / Unavailable; Groq Discovery: Rate Limited / Unavailable; Gemini Flash Discovery: Rate Limited / Unavailable","pending_human_review","pending_human_review","pending_human_review","pending_human_review","pending_human_review","pending_human_review"
"q018","3d character rigger compatible with unity","3d","2026-08-14T19:00:05.377Z","2026-08-14T19:00:12.588Z","7211","1777","MEASURED","false","PARTIAL_SUCCESS","UNVERIFIED","3","Where to download 3d character models rigged","Where to download 3d character models rigged, AI Rigging & Animation for 3D Models, Animation Rigging","3","0","0","true","0","0","3","0","","Gemini Discovery: Rate Limited / Unavailable; Groq Discovery: Rate Limited / Unavailable; Gemini Flash Discovery: Rate Limited / Unavailable","pending_human_review","pending_human_review","pending_human_review","pending_human_review","pending_human_review","pending_human_review"
"q019","podcast host with dynamic ad insertion","audio","2026-08-14T19:00:12.588Z","2026-08-14T19:00:21.782Z","9194","1732","MEASURED","false","PARTIAL_SUCCESS","UNVERIFIED","3","Dynamic ad podcast hosting platform","Dynamic ad podcast hosting platform, Dynamic Ad Insertion, The Benefits of Host-Read Dynamic Ad Insertion for Podcasts","3","0","0","true","0","0","3","0","","Gemini Discovery: Rate Limited / Unavailable; Gemini Flash Discovery: Rate Limited / Unavailable; Groq Discovery: Rate Limited / Unavailable","pending_human_review","pending_human_review","pending_human_review","pending_human_review","pending_human_review","pending_human_review"
"q020","open source alternative to notion","productivity","2026-08-14T19:00:21.782Z","2026-08-14T19:00:28.232Z","6450","2163","MEASURED","false","PARTIAL_SUCCESS","VERIFIED","1","Docs – Open source alternative to Notion or Outline","Docs – Open source alternative to Notion or Outline","3","0","0","true","0","1","1","0","","Gemini Discovery: Rate Limited / Unavailable; Groq Discovery: Rate Limited / Unavailable; Gemini Flash Discovery: Rate Limited / Unavailable","pending_human_review","pending_human_review","pending_human_review","pending_human_review","pending_human_review","pending_human_review"
"q021","free AI voice generator with commercial use","audio","2026-08-14T19:00:28.232Z","2026-08-14T19:00:38.277Z","10045","308","MEASURED","false","PARTIAL_SUCCESS","VERIFIED","3","AI Voice Generator for Commercial Use","AI Voice Generator for Commercial Use, Speechify, AI Voice Generator","3","0","0","true","0","1","3","0","","Gemini Discovery: Rate Limited / Unavailable; Groq Discovery: Rate Limited / Unavailable; Gemini Flash Discovery: Rate Limited / Unavailable","pending_human_review","pending_human_review","pending_human_review","pending_human_review","pending_human_review","pending_human_review"
"q022","cheap alternatives to midjourney under $10","image","2026-08-14T19:00:38.277Z","2026-08-14T19:00:41.953Z","3676","2439","MEASURED","false","PARTIAL_SUCCESS","UNVERIFIED","1","The 4 Best Midjourney Alternatives (2 of Them Free)","The 4 Best Midjourney Alternatives (2 of Them Free)","3","0","0","true","0","0","1","0","","Gemini Discovery: Rate Limited / Unavailable; Groq Discovery: Rate Limited / Unavailable; Gemini Flash Discovery: Rate Limited / Unavailable","pending_human_review","pending_human_review","pending_human_review","pending_human_review","pending_human_review","pending_human_review"
"q023","free CRM with no user limit","business","2026-08-14T19:00:41.953Z","2026-08-14T19:00:42.473Z","520","","NOT_AVAILABLE","false","DISCOVERY_FAILED","UNVERIFIED","0","","","3","0","0","true","0","0","0","0","","Gemini Discovery: Rate Limited / Unavailable; Groq Discovery: Rate Limited / Unavailable; Gemini Flash Discovery: Rate Limited / Unavailable","pending_human_review","pending_human_review","pending_human_review","pending_human_review","pending_human_review","pending_human_review"
"q024","free tier cloud database","developer","2026-08-14T19:00:42.473Z","2026-08-14T19:00:42.977Z","504","","NOT_AVAILABLE","false","DISCOVERY_FAILED","UNVERIFIED","0","","","3","0","0","true","0","0","0","0","","Gemini Discovery: Rate Limited / Unavailable; Groq Discovery: Rate Limited / Unavailable; Gemini Flash Discovery: Rate Limited / Unavailable","pending_human_review","pending_human_review","pending_human_review","pending_human_review","pending_human_review","pending_human_review"
"q025","free video editor without watermark","video","2026-08-14T19:00:42.977Z","2026-08-14T19:00:43.489Z","512","","NOT_AVAILABLE","false","DISCOVERY_FAILED","UNVERIFIED","0","","","3","0","0","true","0","0","0","0","","Gemini Discovery: Rate Limited / Unavailable; Groq Discovery: Rate Limited / Unavailable; Gemini Flash Discovery: Rate Limited / Unavailable","pending_human_review","pending_human_review","pending_human_review","pending_human_review","pending_human_review","pending_human_review"
"q026","completely free screen recorder for windows","productivity","2026-08-14T19:00:43.490Z","2026-08-14T19:00:44.001Z","511","","NOT_AVAILABLE","false","DISCOVERY_FAILED","UNVERIFIED","0","","","3","0","0","true","0","0","0","0","","Gemini Discovery: Rate Limited / Unavailable; Groq Discovery: Rate Limited / Unavailable; Gemini Flash Discovery: Rate Limited / Unavailable","pending_human_review","pending_human_review","pending_human_review","pending_human_review","pending_human_review","pending_human_review"
"q027","cheap email marketing tool for 10k subscribers","marketing","2026-08-14T19:00:44.002Z","2026-08-14T19:00:44.456Z","454","","NOT_AVAILABLE","false","DISCOVERY_FAILED","UNVERIFIED","0","","","3","0","0","true","0","0","0","0","","Gemini Discovery: Rate Limited / Unavailable; Groq Discovery: Rate Limited / Unavailable; Gemini Flash Discovery: Rate Limited / Unavailable","pending_human_review","pending_human_review","pending_human_review","pending_human_review","pending_human_review","pending_human_review"
